,tweets
44,"Zika confirmed in @sfgov , @BurlingameCity , @sanmateoco still no step up from mosquito abatement, I feel like they want us all sick..."
45,My ankle is all swole from a mosquito bite I probably have zika bye
46,Mosquito my a**: Zika Virus® was PATENTED by Rockefeller Foundation in 1947.  https://t.co/O6D6M5YjQQ
47,Could we just face controling mosquito vector?  #Dengue #malaria #LF #YellowFever #Zika How much more do we need? https://t.co/zqkia8bHcJ
48,A mosquito infected with #Zika virus can cause birth defects if it bites a pregnant woman https://t.co/ZnfiuWibmS https://t.co/NXPa11x96M
49,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/HNUQ6Oq1hN by @CNN via @c0nvey
50,#HackingHillary might just be suffering from a touch of Zika from an immigrant fluid or two. Not a mosquito bite. Cut her a break. Be nice.
51,Mosquitoes that carry the ZikaVirus are already in Hawaii as this graphic shows. So our homestead there is worrysome https://t.co/8ReXjCj40D
52,"When the CDC starts using words like “scarier”, it’s time to pay atttention⚡️ “Zika 'scarier' than the CDC thought”  https://t.co/jt3ODojzDM"
53,"Can Google, with its big data, map and zap the spread of Zika? https://t.co/1GTGWxbcvj"
54,"Zika: @DonaldMakhasane A #Zikavirus carrier yes, but we don't know whether the Egyptian mosquito's here yet https://t.co/qjzR5Ul4N7"
55,@BuzzFeedNews @CDCgov Let me say this. Zika virus is produced by the worlds governments to stop people giving birth. we are 7 billion people
56,"Scientist on #r4today explaining how to beat Zika mosquitoes we'll release other, modified mosquitoes. Have they never seen a sci-fi film?"
57,A mosquito just flew into my ear and I probably have Zika now
58,I saw this on the BBC and thought you should see it:  'Zika mosquito' eggs found near Folkestone in Kent - https://t.co/hNSZenL4kL
59,@Q13Tim I find it relieving...needs 2b more concern w/ West Nile than Zika. Protect pregnant women sure no one else needs to worry.
60,There's a mosquito flying around my room that I just can't seem to kill. I named it Zika.
61,"Heads Up! Miami Beach to be Sprayed Again, They Claim Zika Threat Grows  https://t.co/y7izLFydDi"
62,All you need to know about the Zika virus: The World Health Organization says the virus is likely to spread ac... https://t.co/qp7lyo5eRv
63,im really afraid of the zika virus and it can be transmitted to mosquitoes im so scared
64,Sting in the tail: the threat of the Zika virus: Mosquitoes are a danger. It is time to commit mass insecticid... https://t.co/3flSWD724O
65,and not to mention all the Zika mosquitoes are about to frekkin die due to the fact thats it's frekkin OCTOBER https://t.co/jgtdDQD77Q
66,"Mosquito Wars Update: Would You Choose GMO 'Mutants,' Pesticides Or Dengue And Zika Viruses? via @forbes https://t.co/tVU2IbPf6M"
67,I'm going to get freaking Zika with the amount of mosquitoes that are attacking me rn
68,Tips to Protect Yourself from the Zika Virus: Zika is a mosquito-borne disease that spread to the United Stat... https://t.co/2Klb9pxTpX
69,@dps1879 @PeoplesVoice_TV Don't.   They spread Zika fear to push vaccine agenda &amp; profits.  #Eugenics Spread their lies &amp; trips.
70,"@WSJ I am very happy 4 #LGBT community #Zika . But 4 #medical #science my Q is, Can #ZikaVirus spread without blood? Person2person contact?"
71,'Give your blood to sport not mosquitos' slogan on Rio bus shows #Olympics marketing has no limits... #Zika https://t.co/gxkYpheZuJ
72,#Malaria carried by mosquitoes in genus Anopheles; #Zika by Aedes aegypti; they resist #DDT already. https://t.co/RbGsoKlq6x @WendyDamron
73,Bolt: I'm Too Fast for Zika-Carrying Mosquitoes (via https://t.co/kxlFYK1zqz) https://t.co/xoIoayvCSN
74,"Of course the Mayor of Rio De Janeiro will say #Zika isn't a big deal, but anyone in their right mind would think twice. As for athletes...."
75,Humph! A month late and a dollar short! #Delay #Zika until mosquito season upon us and then grandstand! Typical GOP! https://t.co/aUwpJX2gSm
76,"#AP: #NY health dept finds 324 #Zika cases, all associated w/travel to areas where mosquitoes known to transmit it."
77,Should we destroy Zika mosquitos with gene-drive technology? https://t.co/NZdqNu8OQs
78,Four reasons for #RepelZika you simply can't ignore.   #ZikaVirus https://t.co/DP3ZVLS0Op
79,"US athletes should consider skipping Rio Olympics if concerned about Zika, officials say - Obama asks Congress for $1.8B to help figh..."
80,The mosquito that just bit me probably had Zika
81,"A pregnant woman who is infected by a mosquito bite can pass Zika to her fetus, which puts it at risk of serious... https://t.co/vfNUadNjxL"
82,"#Miami #Zika outbreak, #mosquitos get virus by biting infected person then pass it on to more people  https://t.co/c8N7ysftYj"
83,@jillwagnerCBS Did you hear that millions of honey bees were killed in Florida by spraying for Zika mosquitos? Our precious bees......
84,Mosquitoes have been biting me all week and I still don't have Zika Virus.
85,Zika outbreak evidently coincides geographically with release of GM mosquitoes https://t.co/HatsSCVPZp #LymeDisease has similar history
86,@Olympics the Zika virus causes severe deformity In babies. Babies with a third of a brain. It is spread by mosquitos. It is an epidemic.
87,"WHO emergency meeting about Zika. Time to roundup some DDT? Yes, if it will stop the advance of Zika mosquitoes. https://t.co/cs5ye8fbIH"
88,"According to researchers,the Zika virus can hide itself in human organs,like eyes, testes, and the brain,that are protected by immune system"
89,Does the mosquito-borne #zika outbreak pose a threat to Australia? I'll explain all on @ABCNews24 after 7pm! #publichealth
90,"Zika virus eminated from Africa, first isolated in Uganda in the 1940s then It was spread to Asia... #SABCNewsRoom"
91,#SG #Zikavirus  It's alarming that when in trying to protect your family against #Zika you realize that the very... https://t.co/TIOWfPEvud
92,Checkout my latest post: ‘Zika mosquito’ eggs found near Folkestone in Kent – BBC News … https://t.co/jPbymoFC56 https://t.co/HA1I9RvXlV
93,@CSmithMidwifery Woman owned business pioneers novel #zika protection. You can invest for $100. https://t.co/aOZgAtLqjb
94,"A month after it was confirmed that Zika had spread within Singapore, at least five major insurance firms in th... https://t.co/LCznZufae6"
95,FOX News: Zika in America: How can pregnant women protect themselves? https://t.co/tqQ987N4v4 #Faisalabad
96,Demand the Senate provide immediate funding to stop the spread of the Zika virus and keep our families safe! https://t.co/dQVMjqptuc
97,"@RealJamesWoods @PAMsLOvE  go fuck yourself james,,rampant liberal assault, you are an assault on common decency an irritant a zika mosquito"
98,'Why no large scale heart-of-the-jungle adventure movies anymore? And don't say 'Zika virus' that's your answer for everything...'
99,"Pandemics, Project Bioshield, #Ebola, #Zika, #Chikungunya, #H1N1 -the more $$ we spend on pandemics the more we have https://t.co/jeP1iRpaQX"
