,tweets
48,@brainpan2015 Woman owned business pioneers novel #zika protection. You can invest for $100. https://t.co/aOZgAtLqjb
49,Rios's herbalists &amp; witch doctors - we have potions and voodoo spells to keep mosquitoes at bay #tcot #tlot #ccot - https://t.co/7uB4aruwUU
50,I used to not care about mosquito bites but now with zika  I'm so scared ugh I just got bitten send help
51,Still critical for #pregnant women 2 protect themselves from #zikavirus but new study looks promising. #womenhealth https://t.co/cwyK9hG2JO
52,:( ‘Like it’s been nuked’: Millions of bees dead after South Carolina sprays for Zika mosquitoes https://t.co/agk2iKab6j
53,I got bit by like 379278203974738282.99 mosquitos Monday now I gotta worry about having Zika 🤔🙄
54,Please follow @fairfaxhealth for the most up-to-date local #Zika info. 2 big tips: Wear repellent! Tip and toss standing water in your yard!
55,The Economist | The Zika virus: Let us spray https://t.co/2y27buEqXY via @TheEconomist #GMO
56,caught a mosquito in a water bottle so I'll probably find a cure for zika tomorrow
57,"Future #Fathers: Protect your baby from #Zika. If you recently traveled to an area w/ Zika, learn about Zika &amp; sex. https://t.co/xGUdAoAJUi"
58,Zika Virus. The spread and spread. Hope it doesn't get us unawares.
59,I just heard people in the US are getting bit by mosquitos with Zika im out of here omg 😭😷
60,Think we need #science? How to cut off the spread of a Zika virus @CNN https://t.co/0roZ6YZ9yE #LetOurScientistsGo!
61,'Mosquitoes stick six needles into you when they suck your blood' #tech #feedly They had me at needle- https://t.co/SnfAEqkBas
62,@ACInvestorBlog $XON near $34!  Would be nice to see $40s soon as @WHO reviews their technology to fight #Zika.  $SPY $QQQ $IBB
63,"In an effort to distract from the Amazonian mosquito bite scars, I'm getting a pedi rn #ZikaVirus"
64,WHO's Pedro Alonso: We know what works: killing #mosquitoes or eliminating their habitats. #Zika #Dengue  https://t.co/t8QG6pK0O6
65,"#Pregnancy &gt;&gt; Pregnant, Sick With Zika—and Prohibited From Getting an Abortion: They say the prohibition of pr... https://t.co/oQEjdjXe2E"
66,Got like 4 mosquito bites tonight. I'm stressing #ZikaVirus
67,The good news abt #Zika in #Hawaii is mom got it elsewhere &amp; State's mosquitoes aren't infected. Bad news is they ARE infected w/#dengue
68,@DJWarrenYoung Woman owned business pioneers novel #zika protection. You can invest for $100. https://t.co/aOZgAtLqjb
69,1 yr ago I found out I had dengue fever and today I have to get tested for Zika bc someone on my haiti team just got diagnosed #effmosquitos
70,"The world must unite as one against the 'Zika' virus; otherwise, it will spread to every part of the commercialized and industrial cities"
71,How doctors in Miami are protecting their pregnant patients from Zika: https://t.co/KcQ3zeWHfw
72,The #Zika virus is active in south Florida and certain other parts of the world. Here's how to protect yourself: https://t.co/tMai7QGmLh
73,"Summer is here! We spend more time outside, so learn how to protect yourself from mosquitoes and #Zika. https://t.co/qklrLu59jt"
74,@Zika_News  Why does WHO still say it's okay to send athletes from all over the world to Brazil? It's a death sentence for their offsprings
75,Megs: you havin fun? Me: yes and so are these mosquitos with my blood.  Megs: 😂😂😂 don't get the Zika  @pressley_meghan
76,Reading about GM Mosquitos and  #ZikaVirus  I'm like https://t.co/ETz4fz6yLD
77,In-depth look from @TB_Times on how our tech could be used in the Florida Keys to help fight the #Zika mosquito https://t.co/8sp94P3Cur
78,Donald Trump has a solution for handling the Zika virus.  He is calling for an immediate ban on all mosquitos from entering the country!!
79,I thought this post by @coolmompicks on the best bug sprays to protect against #zika was great https://t.co/aYsyQUo73h #AtoZika #gno
80,Tips on how to protect yourself from the Zika virus and Lyme disease! #CLS538 https://t.co/4kG8p0RlfS
81,That is why we created a working bio-friendly trap to eliminate #mosquitoes and prevent #Zika ! Check out our trap! https://t.co/DTYJxGL9dN
82,@hopesolo I think they r wrong to boo u and call out Zika.Very immature.U have a right to protect urself.It's not a reflection on Brazil.🤔
83,I didnt say Zika virus DID kill people. But if he did not know he had it he couldve taken an aspirin &amp; died BECAUSE https://t.co/CZehVdBdrc
84,#ZIKA #RIO2016 Or...If you have been bitten by a mosquito in a Zika+ outbreak area you should get a test to see if you have Zika+ ?
85,If you thought Dengue was the worst thing that the Aedes mosquito could carry... #Zika https://t.co/jnhTaS9z7h
86,@AndreaTantaros I was saying from day-one. These Zika mosquitos are man-made designed to cull population.
87,John Kasich is like an annoying mosquito incessantly buzzing in my ear. He probably carries zika.
88,When you take your mom on a run downtown and all she can talk about is how we should've put bug spray on because the Zika Virus......
89,"@iansomerhalder  well, I live in a city focus of zika and chikungunha, my house is full of mosquitos and I was not sick. is not so easily.."
90,US scientists say they have managed to clone the Zika virus - an important step towards fast-tracking a vaccine ag… https://t.co/awUNELQxyf
91,@PrettyPris @SawickiMarie @reeltourshawaii I'm not totally familiar w/ this. What does Zika cause? Mosquitos r like flying dirty needles😖😝
92,Zika Is Coming https://t.co/5lTffg4ycL Praying for protection of our mothers and babies and wisdom and genius of our scientists and doctors.
93,Zika is no joke yall the entire next generation can be COMPLETELY different if it continues to spread
94,Mosquitoes that spread #Zika are aggressive biters. Protect yourself by using an EPA-registered repellent. https://t.co/zCk6TL6xeT
95,Florida is trapping and testing mosquitoes for Zika virus.  I wonder if they are releasing them after!
96,Americas #Zika virus strain on its way to #Africa. @mozziebites #mosquitoes #health https://t.co/mG8EfMtGIy
97,We need more resources to fully protect America’s communities from #Zika. $1.9B is on the table. We must act now. https://t.co/CKNcfzjhm8
98,"Put on bug spray &amp; still got bit 3 times. I'm going to get Zika, I know it."
99,@AnupamPkher Sir what would you like to say to Indians about the potential threat of surged Zika virus to us?
